        Rank         Score    Variable
        1.00     1.29317E+01  businessparking_street
        2.00     1.26074E+01  goodformeal_dinner
        3.00     1.18226E+01  goodformeal_brunch
        4.00     1.15012E+01  goodformeal_lunch
        5.00     1.12534E+01  goodformeal_breakfast
        6.00     1.12203E+01  goodformeal_dessert
        7.00     1.11245E+01  goodformeal_latenight
        8.00     8.92028E+00  bikeparking
        9.00     8.53642E+00  businessparking_garage
       10.00     8.31809E+00  businessparking_lot
       11.00     8.15349E+00  businessparking_validated
       12.00     8.10447E+00  businessparking_valet
       13.00     7.88642E+00  noiselevel
       14.00     7.71894E+00  wifi
       15.00     6.67214E+00  restaurantstableservice
       16.00     5.78589E+00  ambience_casual
       17.00     5.78066E+00  caters
       18.00     5.34889E+00  ambience_trendy
       19.00     5.19855E+00  ambience_hipster
       20.00     4.83077E+00  wheelchairaccessible
       21.00     3.91878E+00  ambience_intimate
       22.00     3.87705E+00  ambience_touristy
       23.00     3.74245E+00  alcohol
       24.00     3.60268E+00  ambience_upscale
       25.00     3.59302E+00  ambience_classy
       26.00     3.46783E+00  ambience_divey
       27.00     3.42086E+00  ambience_romantic
       28.00     3.27724E+00  hastv
       29.00     2.95906E+00  outdoorseating
       30.00     1.92521E+00  businessacceptscreditcards
       31.00     1.79717E+00  restaurantsreservations
       32.00     1.65501E+00  goodfordancing
       33.00     1.59898E+00  dogsallowed
       34.00     1.46046E+00  restaurantspricerange2
       35.00     1.45970E+00  drivethru
       36.00     1.31735E+00  restaurantsdelivery
       37.00     1.31297E+00  restaurantstakeout
       38.00     1.29673E+00  bestnights_sunday
       39.00     1.24527E+00  restaurantsattire
       40.00     9.42502E-01  bestnights_saturday
       41.00     8.20212E-01  bestnights_friday
       42.00     8.18324E-01  businessacceptsbitcoin
       43.00     8.02968E-01  happyhour
       44.00     7.96156E-01  music_video
       45.00     7.67335E-01  restaurantsgoodforgroups
       46.00     7.32445E-01  bestnights_thursday
       47.00     7.02240E-01  music_no_music
       48.00     6.90990E-01  coatcheck
       49.00     6.62481E-01  music_background_music
       50.00     6.59643E-01  bestnights_tuesday
       51.00     6.39329E-01  bestnights_wednesday
       52.00     5.99185E-01  music_karaoke
       53.00     5.92958E-01  bestnights_monday
       54.00     5.72990E-01  music_jukebox
       55.00     5.67725E-01  smoking
       56.00     5.56540E-01  music_dj
       57.00     4.69082E-01  businessparking
       58.00     4.55750E-01  music_live
       59.00     3.73331E-01  byobcorkage
       60.00     3.36932E-01  goodforkids
       66.00     2.22359E-01  byob
       66.00     2.22359E-01  dietaryrestrictions_dairy-free
       66.00     2.22359E-01  dietaryrestrictions_gluten-free
       66.00     2.22359E-01  dietaryrestrictions_halal
       66.00     2.22359E-01  dietaryrestrictions_kosher
       66.00     2.22359E-01  dietaryrestrictions_soy-free
       66.00     2.22359E-01  dietaryrestrictions_vegetarian
       66.00     2.22359E-01  bestnights
       66.00     2.22359E-01  goodformeal
       66.00     2.22359E-01  dietaryrestrictions_vegan
       66.00     2.22359E-01  music
       72.00     1.83778E-01  ambience
       73.00     1.72031E-01  corkage
       74.00     5.95000E-02  byappointmentonly
