,user_id,business_id,text,date,compliment_count
0,DiGzInTxDfhDGZe2ulXiwQ,kVXyz0mYd7NaGuGdM_VMeQ,"['great', 'bakeri', 'awesom', 'tasti', 'bake', 'good', 'afford', 'price']",2015-12-31 05:44:31,0
1,XWBlluAw866xtkrljou8sA,rn2uglsCXkHq5eWppZkjGQ,"['A', 'tad', 'expens']",2010-04-22 17:23:45,0
2,Q1IENmNc6bdDruACmhy4mg,rnx0KHHTD9Yvr2BWAWwQ4g,"['So', 'mani', 'gluten', 'free', 'option', '!', 'even', 'gluten', 'free', 'fish', 'fri', 'gluten', 'free', 'cupcak']",2015-01-16 02:41:23,0
3,UzoS3zaeg_1nksyMpLUARQ,kz5UANVmPxpllcoLnZBNhg,"['great', 'deep', 'fri', 'wallet', '!']",2012-03-16 22:21:43,0
4,UuPPKVJ3Hk6E_ZKR-J2NzA,Pzs43Fkub-6A9hA1zqpF_w,"['avg', 'best']",2012-05-26 01:45:29,0
5,g42wi9bOD_WAZsro7VW6rA,pH9HF3GfJKJAdKDHcoUI4w,"['those', 'mendota', 'martini', 'seriou', 'lemoni', 'good', '!']",2016-07-28 04:49:40,0
6,6P1yQuEsOtw0Wwk3GU1EkA,9w18Hgg_UmI18YyVTP_E3Q,"['look', 'good', 'fish', 'taco', 'madison', '?', 'good', 'luck', '!', 'Go', 'eno', 'vino', 'great', 'dane', 'Do', ""n't"", 'wast', 'time', 'you', 'get', 'pay']",2010-11-22 02:57:18,1
7,bslH6vo2SB4jlb1Q53qoWw,p4qvXkb34X8hgidxEZ33Gw,"['pho', 'excel', '!']",2016-01-04 23:28:40,0
8,boLGreuzOXfreFivRIsbPg,KLvpdtFYUi1I0LNsmIqeJw,"['keep', 'mind', 'lunch', 'hour', 'utensil', 'not', 'includ', 'unless', 'ask']",2017-03-13 01:45:59,0
9,uf1UdKswKWOqFLUvRvvbzA,XmsBtCykUtObXg4Q1mYpvg,"['still', 'rave', 'fan', 'fri', 'chicken', 'waffl', 'brunch', '!']",2011-07-31 16:16:45,0
10,TP9Tz7gcAfK-BeT16qpZ2w,dsvLqlcYaD0QbVGjVKm-lg,"['tri', 'ribey', 'steak', 'daili', 'special', '--', 'outstand', '!']",2013-08-17 01:29:38,0
11,1C9GHl_InhJZQvhEAWDaww,mJAhCy5XbkaeQqMN05h4Yg,"['gluten-fre', 'and', 'vegan', 'option', '!']",2014-03-23 20:25:03,0
12,uf1UdKswKWOqFLUvRvvbzA,keQlXWfz2K7GukqaReVyow,"['surpris', 'larg', 'venu', 'good', 'host', 'parti', 'onli', 'street', 'park', '!']",2011-05-15 00:28:31,0
13,FPggU_u2Es0YOTNM_8Xucg,-rLP6lfoQmOO_5Pf2bTkqg,"['If', ""n't"", 'get', 'scone', 'fool']",2014-04-13 14:15:28,0
14,r-zUIQPaHzvIyL93wQaoiQ,M0pXDKKvnM5sc7ceisBD4Q,"['ha', 'wifi']",2013-05-15 05:13:20,0
15,TP9Tz7gcAfK-BeT16qpZ2w,zZFf54UIKSTyAcszJ0Avhw,"['absolut', 'best', 'walley', 'town', '!', 'It', ""'s"", 'serv', 'part', 'fish', 'fri', 'breakfast', 'alway', 'excel', 'servic', '!']",2016-04-17 15:26:05,0
16,92sdIE4JUZZptwhKtF_kkw,flCF_Vp9NOpTVeGv673nSg,"['I', 'realli', 'like', 'booth']",2014-08-30 16:57:43,0
