bussiness_name,advice1,advice2,zipcode,city,id,page,1_star,2_star,3_star,4_star,5_star,stars
Wendy's,Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. ,"These sentences will affect the increase of business stars:
  I always order the same thing, breakfast mornin' melt Panini, bacon.
  I stopped at this location just 5 minutes ago.
  They recently renovated both the interior and the exterior, and now it's a very pleasant, 
These sentences will affect the decrease of business stars:
How hard is it to a follow a person's request I'd like 2 bacon cheeseburgers with extra onions on it what do you 
  I always order the same thing, breakfast mornin' melt Panini, bacon.
  The same people have been working here for a 
",53716.0,Madison,1,1,2,2,2,1,0,2.5
Jersey Mike's Subs,Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.,"These sentences will affect the increase of business stars:
I work in Greenway Station and a co-worker had a sub from Jersey Mike's and I asked him how it was.
 The line was very loud and the staff were 
I do not know if they have good subs, be
These sentences will affect the decrease of business stars:
 The veggie wrap was slimy, wet, and soft of the outside making it 
I do not know if they have good subs, because they do not have lettuce wraps, only 
I do not know if they have good subs, because they do not have lettuce 
",53562.0,Middleton,2,1,2,0,2,8,8,4.0
Gino's Restaurant,It is nice to provide street parking. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. ,"These sentences will affect the increase of business stars:
  Because of this, we had our wedding rehearsal 
I started out thinking of eating inside (why would you, though, with all the people watching on State St).
 Our waitress was fantastic from the start.
These sentences will affect the decrease of business stars:
 For the food, my companion had 
  Service is friendly but can be slow, 
  It's particularly good when there's Dean Martin playing on the juke
",53703.0,Madison,3,1,3,5,8,13,9,3.5
The Roman Candle Pizzeria,Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is really helpful.It is nice to provide alcohol and it does make your customer satisfied. ,"These sentences will affect the increase of business stars:
 We ordered the Marco Pollo described with special mariners sa
 James, our waiter, was extremely accommodating and made sure to make our first time here wonderful!
  I do consider it the best pizza place in the Madison area, but let's be honest--Madison is by no means a hotspot for 
These sentences will affect the decrease of business stars:
 We ordered the Marco Pollo described with 
 James, our waiter, was extremely accommodating and made sure to make our first time here wonderful!
 For 3 of us to eat, we have 3 sodas, a medium pizza and an order of garlic breadsticks with dipping sauces.
",53711.0,Fitchburg,4,1,15,10,9,17,10,3.0
Canterbury Booksellers Inn,Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. ,"These sentences will affect the increase of business stars:
  NOTE: there is no longer a B&B or a 
This quaint, cozy inn and bookstore used to have one of the best light dining 
  It was so casual and fun, and they had board games and 
These sentences will affect the decrease of business stars:
  NOTE: there is no longer a B&B or a 
 Great staff, great selection - especially for the hard to 
 ALthough the awning still says Canterbury, it is called A
",53703.0,Madison,5,1,0,0,1,0,2,4.5
Takara 88,Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is really helpful.It is nice to provide alcohol and it does make your customer satisfied. ,"These sentences will affect the increase of business stars:
 We felt that the food was excellent, especially for sushi in Wisconsin.
I rave about it every chance I get and I've brought several friends and family members there who were pleasantly surprised.
 I didn't even know I liked sushi until about a year ago and now I eat it at least once a week.
These sentences will affect the decrease of business stars:
 We felt that the food was excellent, especially for sushi in Wisconsin.
I went here to eat and drink with my aunt and uncle.
I have always been very pleased with the food at Takara.
",53562.0,Middleton,6,1,4,5,7,28,23,4.0
Kim's Noodle Vietnamese Cuisine,Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. ,"These sentences will affect the increase of business stars:
  Actually, if the owners ever check this,they should seriously consider opening a banh mi 
 I noticed they added on Thai and Chinese entrees to their specials, yet I'd say the Vietnamese 
 We also had egg rolls, spring rolls and the pork and shrimp 
These sentences will affect the decrease of business stars:
  Actually, if the owners ever check this,they should seriously consider opening a banh mi 
 All were authentic Vietnamese 
 I would disagree with other reviewers comments about 
",53716.0,Monona,7,1,1,2,5,9,3,3.5
Lee Asian Bistro,Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. ,"These sentences will affect the increase of business stars:
Service was good, decor was nice, 
It tastes better than the typical 
  The dishes weren't the worst things I've ever tasted, but they definitely just reminded me of the typical low quality Chinese 
These sentences will affect the decrease of business stars:
 The best part about these dishes was the ingredients were better 
 My DH was quite annoyed at the staffs noisy chatting in the back 
 I didn't give it five stars because I 
",53716.0,Madison,8,1,0,4,1,5,3,3.5
McDonald's,Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. ,"These sentences will affect the increase of business stars:
 fast forward a week later and I'm cleaning out my car and find the cup.
 So it's around 3:00pm and we drive through the drive through.
 The employees don't seem too happy here and I've had a few occasions in the 
These sentences will affect the decrease of business stars:
 When I went back to Ask to exchange for fresh fries, the 
 AND I had to wait 5 minutes to 
 I do have to say I called the store was told to come back and 
",53575.0,Oregon,9,1,12,0,1,0,0,1.0
Jin's Chicken and Fish,Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.,"These sentences will affect the increase of business stars:
 Although there is usually a 5-10 minute line at the best, it is well worth the wait considering there is no other 
 Although there is usually a 5-10 minute line at the 
 Although there is usually a 5-10 minute line at the best, it is 
These sentences will affect the decrease of business stars:
For whatever reason, after 2am anything fried on a bun with lettuce mayo and Frank's 
For whatever reason, after 2am anything fried on a bun with lettuce mayo and Frank's hot sauce = heavenI prefer the 
For whatever reason, after 2am anything fried on a bun with lettuce mayo and Frank's hot sauce = heavenI 
",53715.0,Madison,10,1,0,0,2,3,4,4.0
